"Gender","Age","Induction","Content1","Calm1","Energetic1","Empowered1","Sad1","Frustrated1","Vigilant1","Bored1","Serene1","Unhappy1","SelfAssured1","Vulnerable1","Stressed1","Surprised1","InControl1","Active1","Depressed1","Unconcerned1","Nervous1","Enthusiastic1","Relaxed1","Anxious1","Overwhelmed1","Helpless1","AtEase1","Confident1","Angry1","Scared1","Satisfied1","Disheartened1","Upset1","Passive1","Panicked1","Asleep1","Happy1","Elated1","Joyful1","Insecure1","Tense1","Aggressive1","Content2","Calm2","Energetic2","Empowered2","Sad2","Frustrated2","Vigilant2","Bored2","Serene2","Unhappy2","SelfAssured2","Vulnerable2","Stressed2","Surprised2","InControl2","Active2","Depressed2","Unconcerned2","Nervous2","Enthusiastic2","Relaxed2","Anxious2","Overwhelmed2","Helpless2","AtEase2","Confident2","Angry2","Scared2","Satisfied2","Disheartened2","Upset2","Passive2","Panicked2","Asleep2","Happy2","Elated2","Joyful2","Insecure2","Tense2","Aggressive2"
"M","53","Angry","75",5,65,50,0,5,5,5,65,5,5,5,5,55,5,50,5,5,5,90,5,10,5,15,5,71,5,5,40,8,15,6,5,10,75,44,70,9,8,7,5,23,61,28,7,11,82,40,50,18,79,24,61,63,17,52,26,3,73,5,4,26,32,56,6,71,91,15,3,10,73,7,32,6,11,10,10,10,66,49
"M","23","Angry","44",34,22,29,22,47,22,5,30,65,41,46,24,4,26,25,43,4,17,47,26,33,76,56,29,43,19,10,5,32,19,50,10,22,9,14,20,70,22,7,11,31,50,75,24,35,13,11,14,17,13,31,25,5,19,68,7,25,20,10,17,32,17,29,25,21,32,20,2,37,29,51,30,7,24,10,15,45,25,34
"F","32","Angry","64",51,81,26,7,5,88,5,24,4,43,8,52,9,60,55,4,17,29,52,11,28,10,14,25,50,2,15,48,15,8,17,3,4,49,5,49,19,15,6,63,53,69,50,8,6,76,6,51,6,59,9,23,9,52,61,6,30,22,58,49,19,10,10,48,51,8,20,48,9,10,6,7,7,63,7,63,16,16,8
"F","19","Angry","71",55,78,23,5,6,5,7,35,5,5,24,85,6,55,81,5,8,27,57,54,64,33,17,54,38,4,9,66,4,10,7,18,6,75,6,55,7,14,6,45,29,71,7,12,23,13,7,18,7,7,16,54,11,18,89,6,7,45,28,40,38,22,20,41,21,15,7,27,7,25,4,9,3,41,30,34,21,60,22
"F","21","Angry","85",90,60,90,15,20,30,5,80,10,73,25,15,5,87,40,10,10,10,90,80,10,10,5,87,76,5,10,80,5,5,10,5,15,85,10,80,15,25,5,70,70,65,67,15,25,50,15,70,15,90,20,10,15,90,30,15,15,25,60,76,15,9,40,75,70,15,10,65,15,25,30,10,15,75,17,65,25,25,20
"F","20","Angry","50",84,65,46,5,22,5,3,20,2,20,3,60,4,5,5,15,14,5,20,60,92,80,48,40,29,30,4,12,72,7,5,7,5,38,3,58,27,48,2,3,37,78,5,56,89,87,3,2,90,8,6,82,81,43,8,72,4,98,2,3,93,88,95,2,2,98,91,3,97,94,3,97,2,2,2,2,92,98,6
"F","20","Angry","80",80,37,20,18,9,48,25,36,13,27,9,50,21,10,14,7,10,10,49,79,15,22,4,72,53,16,32,65,10,7,39,20,51,70,7,78,4,5,4,44,55,18,11,22,41,38,13,21,27,12,33,26,33,8,8,18,18,21,12,62,21,14,25,4,10,30,17,6,34,31,18,9,46,52,12,60,8,21,11
"F","25","Happy","40",50,15,20,25,35,80,20,30,5,50,55,15,5,80,15,15,25,20,65,30,20,25,45,42,15,10,5,10,20,40,5,5,35,50,5,30,15,70,40,70,63,20,20,10,20,30,39,50,14,75,56,15,9,83,14,11,21,16,17,32,12,15,9,56,30,7,23,19,13,13,3,8,21,30,4,48,3,44,24
"F","19","Happy","85",95,30,65,10,10,80,50,90,30,76,70,50,10,85,40,5,75,50,50,40,10,10,5,75,72,5,5,80,20,10,35,5,10,90,30,80,10,15,5,80,80,35,15,10,10,10,20,80,15,80,40,15,15,80,35,15,20,5,65,64,15,10,22,65,60,5,10,25,29,5,25,5,15,80,40,70,10,10,5
"F","18","Happy","72",86,39,3,4,6,81,2,22,2,4,62,83,4,13,27,6,3,44,34,22,87,35,43,22,6,2,2,44,2,6,2,2,32,85,24,71,34,14,2,98,96,94,5,1,1,1,2,92,1,48,5,1,89,83,84,1,1,4,83,98,3,1,2,96,45,1,2,98,1,1,2,2,3,98,73,91,2,1,2
"F","19","Happy","82",91,75,87,15,47,50,5,10,8,31,2,67,31,40,70,7,1,77,91,5,65,88,19,13,35,5,21,84,83,96,47,9,76,72,92,69,5,14,1,81,91,32,98,0,100,5,5,95,0,81,5,84,54,95,78,10,5,95,61,80,76,60,53,72,68,0,5,74,55,86,5,0,44,84,76,84,5,74,5
"F","19","Happy","57",18,36,20,7,8,15,10,75,16,20,34,24,7,39,54,9,11,8,41,34,24,14,12,62,57,9,14,32,20,19,26,4,8,52,16,43,54,23,5,56,29,28,24,8,13,10,12,30,13,20,24,14,12,12,22,5,9,9,26,11,11,7,8,57,55,4,6,35,9,6,34,4,17,53,23,59,26,10,11
"F","20","Happy","83",90,63,50,0,0,23,20,100,0,46,0,17,0,71,60,0,7,0,38,85,0,0,0,100,82,0,0,69,0,0,31,0,0,87,0,87,0,0,0,100,100,55,57,0,0,0,12,51,0,55,0,5,27,78,90,0,5,0,93,79,0,0,0,100,89,0,0,100,0,0,13,0,0,88,0,91,0,0,0
"F","19","Happy","71",68,38,35,14,22,10,9,50,0,50,64,5,76,53,87,0,4,6,39,50,41,0,70,50,12,19,56,36,7,21,0,0,53,61,4,61,6,18,22,77,86,69,70,0,18,5,9,58,0,72,0,3,71,39,68,0,0,0,53,73,0,0,0,73,48,0,0,62,0,0,0,0,25,70,5,72,0,0,0
"F","19","Happy","22",78,33,56,64,14,64,17,24,69,19,79,55,5,48,28,70,24,74,41,31,77,38,20,49,38,4,28,47,55,22,36,0,27,0,13,0,73,0,0,23,32,43,62,57,0,22,0,39,34,15,67,34,9,43,58,63,22,34,42,22,79,30,33,40,39,0,34,53,48,28,27,15,21,43,23,53,67,57,0
"F","22","Happy","47",42,33,54,5,22,57,54,33,42,21,4,78,4,38,15,15,87,66,10,9,80,8,52,38,23,44,10,52,60,2,51,24,81,66,15,25,83,18,20,48,46,39,53,9,10,9,30,40,24,15,15,37,23,37,32,9,66,22,22,35,22,2,10,51,25,2,2,21,20,5,58,1,45,29,16,18,65,31,2
"F","19","Happy","37",80,11,60,61,24,76,52,20,67,34,29,80,7,88,29,60,61,60,69,20,77,66,24,25,44,12,51,33,9,58,16,12,67,40,56,73,60,65,8,70,57,58,74,30,8,75,15,58,24,59,14,56,5,77,63,17,14,70,71,49,55,11,6,49,55,6,16,48,7,55,7,7,34,66,60,72,7,13,3
"F","19","Happy","88",52,85,38,0,7,0,0,68,0,37,2,23,0,54,24,0,57,5,79,69,14,37,0,61,43,0,0,53,2,5,9,0,3,79,26,85,7,15,0,88,74,82,48,0,1,0,0,89,0,72,0,0,4,58,62,0,4,2,83,84,0,1,0,59,52,0,0,73,0,0,4,0,2,83,39,88,7,0,0
"F","18","Happy","79",39,75,36,2,3,18,6,42,2,55,13,49,6,47,18,2,8,12,72,14,65,38,14,20,29,1,3,49,4,2,17,22,13,79,26,83,10,28,4,83,85,81,71,1,10,7,11,50,5,61,17,14,18,52,31,1,12,12,75,50,22,15,18,53,67,3,6,57,7,1,17,6,9,73,61,80,28,6,2
"F","23","Happy","43",96,34,11,31,5,57,9,44,28,20,20,5,3,64,50,40,11,13,55,61,47,2,26,61,30,1,1,15,4,1,7,1,36,39,45,35,57,9,1,54,79,20,7,17,1,5,1,63,19,37,32,5,1,59,60,9,1,6,56,75,6,1,8,73,43,1,1,47,5,1,3,1,17,53,61,60,42,1,1
"F","20","Happy","34",60,43,20,19,13,46,9,51,26,66,10,60,9,68,34,25,4,23,35,65,38,25,8,65,40,10,9,41,16,9,15,10,15,31,16,17,22,36,3,59,55,66,34,12,6,12,9,64,12,64,12,8,14,31,48,11,5,11,72,37,12,10,8,62,59,4,4,60,6,3,9,5,8,48,18,62,9,4,10
"F","20","Happy","46",50,63,33,23,19,14,8,33,23,16,20,48,17,41,28,20,13,34,79,34,49,44,25,28,58,5,12,78,8,18,36,24,42,64,49,70,26,13,10,75,54,80,47,11,13,8,21,61,10,49,25,9,35,59,29,12,7,12,59,64,15,17,14,51,44,8,7,76,10,8,22,13,21,67,54,77,30,20,5
"F","19","Happy","84",100,32,41,0,0,8,0,94,0,94,0,0,0,68,52,0,82,0,63,100,0,0,0,100,96,0,0,83,0,0,17,0,80,78,9,85,0,0,0,94,100,24,37,0,0,0,0,100,0,82,0,0,0,22,23,0,26,0,22,91,0,0,0,94,94,0,0,92,0,0,13,0,0,86,13,93,0,0,0
"F","19","Happy","70",79,65,39,20,11,25,11,69,12,49,18,32,13,34,40,7,12,12,58,36,11,33,16,67,31,9,11,65,36,9,31,8,25,66,15,70,9,9,10,75,80,65,20,12,12,14,13,75,15,51,19,15,15,21,30,10,14,20,75,80,11,14,19,70,43,7,9,74,20,8,23,8,19,72,25,76,14,12,9
"F","18","Happy","74",71,62,41,0,0,5,0,90,0,95,12,12,4,11,10,0,9,1,53,58,4,0,1,78,53,0,4,57,0,0,25,0,7,65,0,65,0,11,0,77,54,50,6,0,0,9,5,55,0,55,7,5,22,14,35,0,3,2,49,62,4,0,10,69,20,0,0,70,0,0,10,0,0,78,0,70,0,6,0
"F","21","Happy","89",90,100,9,7,3,53,86,42,4,27,80,25,3,80,58,2,10,25,82,12,68,2,3,11,23,1,22,48,3,3,2,3,4,80,62,80,47,3,3,76,86,12,56,2,2,1,2,77,3,4,3,2,2,2,12,2,7,2,88,80,6,2,7,81,90,5,6,84,6,5,6,5,88,86,56,86,5,5,7
"F","19","Happy","82",96,82,30,4,5,53,12,74,7,53,23,16,36,16,39,0,49,18,73,74,20,8,5,75,71,0,5,49,6,5,44,18,24,85,43,49,1,10,5,75,88,81,50,5,4,1,25,93,1,68,2,5,53,12,53,1,7,7,84,81,14,31,4,91,53,2,3,67,14,10,48,1,6,75,31,61,4,2,5
"M","19","Happy","42",73,28,64,49,22,34,16,69,54,69,15,14,33,64,59,13,13,16,66,43,18,18,16,71,60,15,13,52,17,66,50,17,38,53,14,48,19,46,13,73,81,51,72,28,20,16,9,60,9,67,12,13,47,22,58,15,12,15,77,87,12,15,16,84,79,14,17,86,19,15,17,9,28,65,29,60,23,25,16
